127.0.0.1 - - [11/Dec/2024:15:04:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:41 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:41 +0900] "GET /jspHomePage/home/css/carouselStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:41 +0900] "GET /jspHomePage/home/media/slide-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:41 +0900] "GET /jspHomePage/home/css/MainPageStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:41 +0900] "GET /jspHomePage/home/media/slide-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:41 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:41 +0900] "GET /jspHomePage/home/media/slide-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:41 +0900] "GET /jspHomePage/home/media/slide-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:41 +0900] "GET /jspHomePage/js/carousel.js HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:04:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:05:12 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:05:12 +0900] "GET /jspHomePage/js/carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:07 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:07 +0900] "GET /jspHomePage/js/carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:52 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:52 +0900] "GET /jspHomePage/js/carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /jspHomePage/home/media/slide-1.jpg HTTP/1.1" 200 465011
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /jspHomePage/home/media/slide-2.jpg HTTP/1.1" 200 405298
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /jspHomePage/home/media/slide-3.jpg HTTP/1.1" 200 435766
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /jspHomePage/home/css/carouselStyle.css HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /jspHomePage/home/css/MainPageStyle.css HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /jspHomePage/home/media/slide-4.jpg HTTP/1.1" 200 480747
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /jspHomePage/js/carousel.js HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:07:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:24 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:24 +0900] "GET /jspHomePage/home/css/carouselStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:24 +0900] "GET /jspHomePage/js/carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:37 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:37 +0900] "GET /jspHomePage/home/css/carouselStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/css/carouselStyle.css HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/css/MainPageStyle.css HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/media/slide-1.jpg HTTP/1.1" 200 465011
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/media/slide-2.jpg HTTP/1.1" 200 405298
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/media/slide-3.jpg HTTP/1.1" 200 435766
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/media/slide-4.jpg HTTP/1.1" 200 480747
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/js/carousel.js HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/css/MainPageStyle.css HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/css/carouselStyle.css HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/media/slide-1.jpg HTTP/1.1" 200 465011
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/media/slide-2.jpg HTTP/1.1" 200 405298
0:0:0:0:0:0:0:1 - - [11/Dec/2024:15:08:40 +0900] "GET /jspHomePage/home/media/slide-3.jpg HTTP/1.1" 200 435766
