127.0.0.1 - - [20/Dec/2024:09:02:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:30 +0900] "GET /jspHomePage/home/mainPage.jsp HTTP/1.1" 500 2748
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:53 +0900] "GET /jspHomePage/home/mainPageAlert.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/mainPageAlert.do?status=8 HTTP/1.1" 200 9526
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/home/css/MainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/home/css/headerNav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/home/css/sideSection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/home/css/miniBoardSection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/home/css/miniShoppingSection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/home/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/images/product1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/images/product2.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/images/product3.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:55 +0900] "GET /jspHomePage/images/product4.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:56 +0900] "GET /jspHomePage/mainPageAlert.do HTTP/1.1" 200 9405
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:56 +0900] "GET /jspHomePage/images/product1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:56 +0900] "GET /jspHomePage/images/product2.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:56 +0900] "GET /jspHomePage/images/product3.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:03:56 +0900] "GET /jspHomePage/images/product4.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:04 +0900] "GET /jspHomePage/mainPage.jsp HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:11 +0900] "GET /jspHomePage/mainPageAlert.do?status=3 HTTP/1.1" 200 9543
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:11 +0900] "GET /jspHomePage/images/product1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:11 +0900] "GET /jspHomePage/images/product2.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:12 +0900] "GET /jspHomePage/images/product3.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:12 +0900] "GET /jspHomePage/mainPageAlert.do HTTP/1.1" 200 9405
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:12 +0900] "GET /jspHomePage/images/product4.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:12 +0900] "GET /jspHomePage/images/product1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:12 +0900] "GET /jspHomePage/images/product2.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:12 +0900] "GET /jspHomePage/images/product3.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:12 +0900] "GET /jspHomePage/images/product4.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/mainPageAlert.do HTTP/1.1" 200 9405
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/css/carouselSection.css HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/css/sideSection.css HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/css/MainPage.css HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/css/headerNav.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/css/miniBoardSection.css HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/media/slide-1.jpg HTTP/1.1" 200 171051
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/media/slide-2.jpg HTTP/1.1" 200 281800
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/media/slide-3.jpg HTTP/1.1" 200 242728
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/css/miniShoppingSection.css HTTP/1.1" 200 4776
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/media/slide-4.jpg HTTP/1.1" 200 284531
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/js/common.js HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/images/product1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/images/product2.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/js/headerNav.js HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/images/product4.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/images/product3.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /jspHomePage/home/js/carousel.js HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:52 +0900] "GET /jspHomePage/noticeSelect.do HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:52 +0900] "GET /jspHomePage/home/notice/css/noticePage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:04:59 +0900] "GET /jspHomePage/home/loginPopupPage.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:04 +0900] "POST /jspHomePage/customerPopLoginCheck.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:04 +0900] "GET /jspHomePage/popLoginAlert.do?status=3 HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:05 +0900] "GET /jspHomePage/home/loginPopup.jsp HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:05 +0900] "GET /jspHomePage/noticeSelect.do HTTP/1.1" 200 5929
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:29 +0900] "GET /jspHomePage/noticeSelect.do HTTP/1.1" 200 5915
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:29 +0900] "GET /jspHomePage/home/css/carouselSection.css HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:29 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:29 +0900] "GET /jspHomePage/home/css/headerNav.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:29 +0900] "GET /jspHomePage/home/js/headerNav.js HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:29 +0900] "GET /jspHomePage/home/js/common.js HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:29 +0900] "GET /jspHomePage/home/notice/css/noticePage.css HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [20/Dec/2024:09:05:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
