127.0.0.1 - - [30/Dec/2024:08:56:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:28 +0900] "GET /jspHomePage/boardListServlet.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/mainPageAlert.do?status=8 HTTP/1.1" 200 10531
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/css/MainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/css/miniBoardSection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/css/carouselSection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/css/miniShoppingSection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/css/headerNav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/media/slide-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/media/slide-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/media/slide-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/media/slide-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/js/carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:31 +0900] "GET /jspHomePage/home/uploads/12_title_1;jsessionid=283B7FEC0E40C5675B9C8AF0033F75A2 HTTP/1.1" 200 285438
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:32 +0900] "GET /jspHomePage/home/uploads/11_title_1;jsessionid=283B7FEC0E40C5675B9C8AF0033F75A2 HTTP/1.1" 200 169406
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:32 +0900] "GET /jspHomePage/home/uploads/10_title_1;jsessionid=283B7FEC0E40C5675B9C8AF0033F75A2 HTTP/1.1" 200 169406
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:32 +0900] "GET /jspHomePage/home/uploads/9_title_1;jsessionid=283B7FEC0E40C5675B9C8AF0033F75A2 HTTP/1.1" 200 169406
0:0:0:0:0:0:0:1 - - [30/Dec/2024:08:56:41 +0900] "GET /jspHomePage/mainPageAlert.do HTTP/1.1" 200 10058
